No.                      TimeTemperature°C
390              2020/4/5 4:35:19      22.4
391              2020/4/5 4:35:49      22.4
392              2020/4/5 4:36:19      22.4
393              2020/4/5 4:36:49      22.4
394              2020/4/5 4:37:19      22.3
395              2020/4/5 4:37:49      22.3
396              2020/4/5 4:38:19      22.3
397              2020/4/5 4:38:49      22.3
398              2020/4/5 4:39:19      22.3
399              2020/4/5 4:39:49      22.3
400              2020/4/5 4:40:19      22.3
401              2020/4/5 4:40:49      22.3
402              2020/4/5 4:41:19      22.3
403              2020/4/5 4:41:49      22.3
404              2020/4/5 4:42:19      22.3
405              2020/4/5 4:42:49      22.3
406              2020/4/5 4:43:19      22.3
407              2020/4/5 4:43:49      22.3
408              2020/4/5 4:44:19      22.3
409              2020/4/5 4:44:49      22.3
410              2020/4/5 4:45:19      22.3
411              2020/4/5 4:45:49      22.3
412              2020/4/5 4:46:19      22.2
413              2020/4/5 4:46:49      22.2
414              2020/4/5 4:47:19      22.2
415              2020/4/5 4:47:49      22.2
416              2020/4/5 4:48:19      22.2
417              2020/4/5 4:48:49      22.2
418              2020/4/5 4:49:19      22.2
419              2020/4/5 4:49:49      22.2
420              2020/4/5 4:50:19      22.2
421              2020/4/5 4:50:49      22.2
422              2020/4/5 4:51:19      22.2
423              2020/4/5 4:51:49      22.2
424              2020/4/5 4:52:19      22.2
425              2020/4/5 4:52:49      22.2
426              2020/4/5 4:53:19      22.2
427              2020/4/5 4:53:49      22.2
428              2020/4/5 4:54:19      22.2
429              2020/4/5 4:54:49      22.2
430              2020/4/5 4:55:19      22.2
431              2020/4/5 4:55:49      22.2
432              2020/4/5 4:56:19      22.2
433              2020/4/5 4:56:49      22.2
434              2020/4/5 4:57:19      22.2
435              2020/4/5 4:57:49      22.2
436              2020/4/5 4:58:19      22.2
437              2020/4/5 4:58:49      22.2
438              2020/4/5 4:59:19      22.2
439              2020/4/5 4:59:49      22.2
440              2020/4/5 5:00:19      22.2
441              2020/4/5 5:00:49      22.2
442              2020/4/5 5:01:19      22.2
443              2020/4/5 5:01:49      22.2
444              2020/4/5 5:02:19      22.2
445              2020/4/5 5:02:49      22.1
446              2020/4/5 5:03:19      22.1
447              2020/4/5 5:03:49      22.1
448              2020/4/5 5:04:19      22.1
449              2020/4/5 5:04:49      22.1
450              2020/4/5 5:05:19      22.1
451              2020/4/5 5:05:49      22.1
452              2020/4/5 5:06:19      22.1
453              2020/4/5 5:06:49      22.1
454              2020/4/5 5:07:19      22.1
455              2020/4/5 5:07:49      22.1
456              2020/4/5 5:08:19      22.1
457              2020/4/5 5:08:49      22.1
458              2020/4/5 5:09:19      22.1
459              2020/4/5 5:09:49      22.1
460              2020/4/5 5:10:19      22.1
461              2020/4/5 5:10:49      22.1
462              2020/4/5 5:11:19      22.1
463              2020/4/5 5:11:49      22.1
464              2020/4/5 5:12:19      22.1
465              2020/4/5 5:12:49      22.1
466              2020/4/5 5:13:19      22.1
467              2020/4/5 5:13:49        22
468              2020/4/5 5:14:19        22
469              2020/4/5 5:14:49        22
470              2020/4/5 5:15:19        22
471              2020/4/5 5:15:49        22
472              2020/4/5 5:16:19        22
473              2020/4/5 5:16:49        22
474              2020/4/5 5:17:19        22
475              2020/4/5 5:17:49        22
476              2020/4/5 5:18:19        22
477              2020/4/5 5:18:49        22
478              2020/4/5 5:19:19        22
479              2020/4/5 5:19:49        22
480              2020/4/5 5:20:19        22
481              2020/4/5 5:20:49        22
482              2020/4/5 5:21:19        22
483              2020/4/5 5:21:49        22
484              2020/4/5 5:22:19        22
485              2020/4/5 5:22:49        22
486              2020/4/5 5:23:19        22
487              2020/4/5 5:23:49        22
488              2020/4/5 5:24:19        22
489              2020/4/5 5:24:49        22
490              2020/4/5 5:25:19        22
491              2020/4/5 5:25:49        22
492              2020/4/5 5:26:19      21.9
493              2020/4/5 5:26:49      21.9
494              2020/4/5 5:27:19      21.9
495              2020/4/5 5:27:49      21.9
496              2020/4/5 5:28:19      21.9
497              2020/4/5 5:28:49      21.9
498              2020/4/5 5:29:19      21.9
499              2020/4/5 5:29:49      21.9
500              2020/4/5 5:30:19      21.9
501              2020/4/5 5:30:49      21.9
502              2020/4/5 5:31:19      21.9
503              2020/4/5 5:31:49      21.9
504              2020/4/5 5:32:19      21.9
505              2020/4/5 5:32:49      21.9
506              2020/4/5 5:33:19      21.9
507              2020/4/5 5:33:49      21.9
508              2020/4/5 5:34:19      21.9
509              2020/4/5 5:34:49      21.9
510              2020/4/5 5:35:19      21.9
511              2020/4/5 5:35:49      21.9
512              2020/4/5 5:36:19      21.9
513              2020/4/5 5:36:49      21.9
514              2020/4/5 5:37:19      21.9
515              2020/4/5 5:37:49      21.9
516              2020/4/5 5:38:19      21.9
517              2020/4/5 5:38:49      21.9
518              2020/4/5 5:39:19      21.9
519              2020/4/5 5:39:49      21.9
520              2020/4/5 5:40:19      21.8
521              2020/4/5 5:40:49      21.8
522              2020/4/5 5:41:19      21.8
523              2020/4/5 5:41:49      21.8
524              2020/4/5 5:42:19      21.8
525              2020/4/5 5:42:49      21.8
526              2020/4/5 5:43:19      21.8
527              2020/4/5 5:43:49      21.8
528              2020/4/5 5:44:19      21.8
529              2020/4/5 5:44:49      21.8
530              2020/4/5 5:45:19      21.8
531              2020/4/5 5:45:49      21.8
532              2020/4/5 5:46:19      21.8
533              2020/4/5 5:46:49      21.8
534              2020/4/5 5:47:19      21.8
535              2020/4/5 5:47:49      21.8
536              2020/4/5 5:48:19      21.8
537              2020/4/5 5:48:49      21.8
538              2020/4/5 5:49:19      21.8
539              2020/4/5 5:49:49      21.8
540              2020/4/5 5:50:19      21.8
541              2020/4/5 5:50:49      21.8
542              2020/4/5 5:51:19      21.8
543              2020/4/5 5:51:49      21.8
544              2020/4/5 5:52:19      21.8
545              2020/4/5 5:52:49      21.8
546              2020/4/5 5:53:19      21.8
547              2020/4/5 5:53:49      21.8
548              2020/4/5 5:54:19      21.8
549              2020/4/5 5:54:49      21.8
550              2020/4/5 5:55:19      21.8
551              2020/4/5 5:55:49      21.8
552              2020/4/5 5:56:19      21.8
553              2020/4/5 5:56:49      21.8
554              2020/4/5 5:57:19      21.7
555              2020/4/5 5:57:49      21.7
556              2020/4/5 5:58:19      21.7
557              2020/4/5 5:58:49      21.7
558              2020/4/5 5:59:19      21.7
559              2020/4/5 5:59:49      21.7
560              2020/4/5 6:00:19      21.7
561              2020/4/5 6:00:49      21.7
562              2020/4/5 6:01:19      21.7
563              2020/4/5 6:01:49      21.7
564              2020/4/5 6:02:19      21.7
565              2020/4/5 6:02:49      21.7
566              2020/4/5 6:03:19      21.7
567              2020/4/5 6:03:49      21.7
568              2020/4/5 6:04:19      21.7
569              2020/4/5 6:04:49      21.7
570              2020/4/5 6:05:19      21.7
571              2020/4/5 6:05:49      21.7
572              2020/4/5 6:06:19      21.7
573              2020/4/5 6:06:49      21.7
574              2020/4/5 6:07:19      21.7
575              2020/4/5 6:07:49      21.7
576              2020/4/5 6:08:19      21.7
577              2020/4/5 6:08:49      21.7
578              2020/4/5 6:09:19      21.7
579              2020/4/5 6:09:49      21.7
580              2020/4/5 6:10:19      21.7
581              2020/4/5 6:10:49      21.7
582              2020/4/5 6:11:19      21.7
583              2020/4/5 6:11:49      21.7
584              2020/4/5 6:12:19      21.7
585              2020/4/5 6:12:49      21.7
586              2020/4/5 6:13:19      21.7
587              2020/4/5 6:13:49      21.7
588              2020/4/5 6:14:19      21.6
589              2020/4/5 6:14:49      21.6
590              2020/4/5 6:15:19      21.6
591              2020/4/5 6:15:49      21.6
592              2020/4/5 6:16:19      21.6
593              2020/4/5 6:16:49      21.6
594              2020/4/5 6:17:19      21.6
595              2020/4/5 6:17:49      21.6
596              2020/4/5 6:18:19      21.6
597              2020/4/5 6:18:49      21.6
598              2020/4/5 6:19:19      21.6
599              2020/4/5 6:19:49      21.6
600              2020/4/5 6:20:19      21.6
601              2020/4/5 6:20:49      21.6
602              2020/4/5 6:21:19      21.6
603              2020/4/5 6:21:49      21.6
604              2020/4/5 6:22:19      21.6
605              2020/4/5 6:22:49      21.6
606              2020/4/5 6:23:19      21.6
607              2020/4/5 6:23:49      21.6
